k,silhouette,validation_selected_cluster_mean,validation_positive_clusters,cluster,count,next_day_return_mean,next_day_return_median,hit_rate,period,fold
10,0.11988390203194843,0.0028237120571517867,7.0,,,,,,,15
4,,,,0.0,21.0,-0.010689259946586522,-0.0036402569593148026,0.42857142857142855,validation,15
4,,,,1.0,3520.0,0.0013284906992589085,4.993284114829244e-05,0.5008522727272727,validation,15
4,,,,2.0,1118.0,0.003966939354097571,0.004039701500304416,0.5661896243291592,validation,15
4,,,,3.0,925.0,0.0020353472135223273,0.001015744032503818,0.5124324324324324,validation,15
4,,,,0.0,14.0,0.009378183353621814,-0.013610966797336255,0.35714285714285715,test,15
4,,,,1.0,3768.0,0.0017581887982269365,0.00029220785057071375,0.5058386411889597,test,15
4,,,,2.0,953.0,0.007935782572600098,0.007180539273153652,0.6107030430220357,test,15
4,,,,3.0,991.0,0.0063188369008781425,0.002925531914893531,0.5610494450050454,test,15
4,0.25871191684909534,0.005222329584336893,3.0,,,,,,,16
6,0.1572355854373574,0.005032314441178635,5.0,,,,,,,16
8,0.15445864684804475,0.006008916088532352,7.0,,,,,,,16
10,0.1124802056360783,0.006991345733235206,7.0,,,,,,,16
4,,,,0.0,1014.0,0.0075676074479135436,0.0068134226770621975,0.6035502958579881,validation,16
4,,,,1.0,993.0,0.006354033235764006,0.002925531914893531,0.5609264853977844,validation,16
4,,,,2.0,14.0,0.009378183353621814,-0.013610966797336255,0.35714285714285715,validation,16
4,,,,3.0,3705.0,0.001745348069333128,0.00029442939583090855,0.5060728744939271,validation,16
4,,,,0.0,1010.0,0.0019431634500508294,0.002137346946618268,0.5405940594059406,test,16
4,,,,1.0,768.0,0.003220434472050639,0.0009573838920007294,0.515625,test,16
4,,,,2.0,52.0,0.011677262557784717,0.004216268196845729,0.5961538461538461,test,16
4,,,,3.0,3977.0,0.0015566530871009635,0.0009922822491730265,0.5204928337943173,test,16
4,0.24946822889985282,0.002128100037443584,3.0,,,,,,,17
6,0.1812917509513889,0.0031597612684123,5.0,,,,,,,17
8,0.15282415312030212,0.003635287207343374,7.0,,,,,,,17
10,0.13903424413198143,0.002203752819420988,6.0,,,,,,,17
4,,,,0.0,729.0,0.0028193441071000446,0.0007271669575334982,0.5116598079561042,validation,17
4,,,,1.0,52.0,0.011677262557784717,0.004216268196845729,0.5961538461538461,validation,17
4,,,,2.0,982.0,0.0019089764378648459,0.00203863296329998,0.539714867617108,validation,17
4,,,,3.0,4044.0,0.0016559795673658625,0.0010364908483210256,0.521513353115727,validation,17
4,,,,0.0,513.0,0.0013813025509184266,-0.0014883720930232158,0.4756335282651072,test,17
4,,,,1.0,37.0,0.007590604895728414,0.009711510996858186,0.5405405405405406,test,17
4,,,,2.0,612.0,0.0018756174967811704,1.3889274702028054e-05,0.5,test,17
4,,,,3.0,4721.0,0.0015378195336472281,0.0,0.49777589493751323,test,17
4,0.32542543582684286,0.0014949196639729493,3.0,,,,,,,18
6,0.23446388271636792,0.001615577531157801,4.0,,,,,,,18
8,0.18063914506874204,0.0015994971254660354,3.0,,,,,,,18
10,0.18626342575459112,0.0017151852964459467,6.0,,,,,,,18
4,,,,0.0,617.0,0.0016115801533860786,0.0,0.49756888168557534,validation,18
4,,,,1.0,4710.0,0.0015819018327832154,0.0,0.4989384288747346,validation,18
4,,,,2.0,517.0,0.0012912770057495538,-0.0017349526224476053,0.46808510638297873,validation,18
4,,,,3.0,39.0,0.007299787618488989,0.008838383838383868,0.5384615384615384,validation,18
4,,,,0.0,1108.0,0.0018372518496473406,0.0010785301840320338,0.5117328519855595,test,18
4,,,,1.0,4144.0,0.0005433699590251508,0.0,0.49131274131274133,test,18
4,,,,2.0,678.0,0.002552583465043842,-0.0014016128299204067,0.4808259587020649,test,18
4,,,,3.0,39.0,-0.002781754830394997,0.0002778549597111102,0.5128205128205128,test,18
4,0.2656411432898696,0.0015459192067389827,3.0,,,,,,,19
6,0.1916958394775394,0.002458129879990841,5.0,,,,,,,19
8,0.1585781200287529,0.003586614150246893,5.0,,,,,,,19
10,0.1453572671089487,0.0013546443744113959,5.0,,,,,,,19
4,,,,0.0,691.0,0.00207484939322384,-0.0017478991596637794,0.4761215629522431,validation,19
4,,,,1.0,1131.0,0.0020161738884961118,0.0009687034277199302,0.5101679929266136,validation,19
4,,,,2.0,4104.0,0.000546734338496996,0.0,0.4919590643274854,validation,19
4,,,,3.0,43.0,-0.001122046820340672,0.003768191268191279,0.5581395348837209,validation,19
4,,,,0.0,598.0,-0.0003376504787273764,-0.0005930224279728225,0.47324414715719065,test,19
4,,,,1.0,1057.0,-0.001922796186889887,0.0004930156121609741,0.5052034058656575,test,19
4,,,,2.0,4196.0,-0.0012563278456828172,-0.0003321287434736586,0.48379408960915155,test,19
4,,,,3.0,131.0,0.02519655011071059,0.024012676743052186,0.7557251908396947,test,19
4,0.26768637130452544,0.02547324282737486,1.0,,,,,,,20
6,0.18243538609485158,0.0013857464446304993,3.0,,,,,,,20
8,0.16042341397298046,0.005476596544620766,3.0,,,,,,,20
10,0.1472119295755081,0.006132172663347812,3.0,,,,,,,20
4,,,,0.0,137.0,0.02547324282737486,0.023757041391133882,0.7664233576642335,validation,20
4,,,,1.0,602.0,-0.00043564881312726947,-0.0008682631950027164,0.4684385382059801,validation,20
4,,,,2.0,4212.0,-0.0012117558267374525,-0.0002912546458316845,0.4855175688509022,validation,20
4,,,,3.0,1031.0,-0.0022587509907208386,-0.00012464165524106452,0.498545101842871,validation,20
4,,,,0.0,58.0,-0.005388747836264213,0.000398846807318165,0.5172413793103449,test,20
4,,,,1.0,640.0,0.00041371521422700305,-0.0007060253699086583,0.484375,test,20
4,,,,2.0,4159.0,-6.801787842801061e-05,-0.0003721622627463894,0.4844914642943015,test,20
4,,,,3.0,1124.0,0.00133283729897593,0.0004498133693240369,0.5062277580071174,test,20
4,0.2555524346915297,0.0009048590206053439,2.0,,,,,,,21
6,0.17484559126908225,0.00350484903689448,2.0,,,,,,,21
8,0.14964950146372233,0.003210092677726667,4.0,,,,,,,21
10,0.133286997317467,0.0026079310546263347,5.0,,,,,,,21
4,,,,0.0,4155.0,-4.7106406525973406e-05,-0.0003721622627463894,0.4844765342960289,validation,21
4,,,,1.0,635.0,0.0005490476749210446,-0.000608272506082641,0.4881889763779528,validation,21
4,,,,2.0,1121.0,0.0012606703662896431,0.0004054492377554286,0.5049063336306869,validation,21
4,,,,3.0,70.0,-0.005695378640018952,-0.0005019660544522409,0.5,validation,21
4,,,,0.0,4689.0,0.0024919834474868515,0.00170990566037732,0.5487310727233952,test,21
4,,,,1.0,593.0,0.001927875653439314,0.0004928536224741986,0.5075885328836425,test,21
4,,,,2.0,645.0,0.0035312816678328097,0.00390625,0.5736434108527132,test,21
4,,,,3.0,49.0,0.010100215812750599,0.015423866403803776,0.7755102040816326,test,21
4,0.18219823590401085,0.0025616578143144338,4.0,,,,,,,22
6,0.18671049810417295,0.0028829898748245126,6.0,,,,,,,22
8,0.1468641570857079,0.002979484947453394,6.0,,,,,,,22
10,0.14395503827133016,0.0032918785868417877,8.0,,,,,,,22
6,,,,0.0,417.0,0.004205791192782866,0.0037678975131876236,0.5707434052757794,validation,22
6,,,,1.0,1896.0,0.002527724016172515,0.0012550808511705425,0.5327004219409283,validation,22
6,,,,2.0,275.0,0.004283567249444828,0.004066073697585937,0.5927272727272728,validation,22
6,,,,3.0,2869.0,0.002369039474651992,0.001919631430765234,0.5545486232136633,validation,22
6,,,,4.0,235.0,0.0006400638328424424,-0.0016962329493250827,0.4765957446808511,validation,22
6,,,,5.0,284.0,0.0032717534830524367,0.0039569462397731625,0.5915492957746479,validation,22
6,,,,0.0,458.0,0.002123734652732007,0.0018372262919937876,0.5305676855895196,test,22
6,,,,1.0,1655.0,0.00012767268641163823,-0.0011082379017361976,0.46283987915407854,test,22
6,,,,2.0,274.0,0.002923296223452475,0.0008973173392167189,0.5218978102189781,test,22
6,,,,3.0,3248.0,0.0009063616490965585,0.0006435637472291811,0.5230911330049262,test,22
6,,,,4.0,209.0,0.005265980125509279,0.005868477072665579,0.5741626794258373,test,22
6,,,,5.0,141.0,0.0006356924010795302,-0.00104843782763675,0.475177304964539,test,22
4,0.18506646837770532,0.0020317811350052425,4.0,,,,,,,23
6,0.1626504114438853,0.0022283002423640307,6.0,,,,,,,23
8,0.16448823983030855,0.002271469282707078,6.0,,,,,,,23
10,0.1499366194991262,0.0019228785096343157,6.0,,,,,,,23
4,,,,0.0,1924.0,0.00039283205048090545,-0.0007472244752295687,0.47401247401247404,validation,23
4,,,,1.0,486.0,0.0016808602274250583,0.0009430434858689329,0.5123456790123457,validation,23
4,,,,2.0,293.0,0.005125806148102214,0.0044091710758378255,0.5733788395904437,validation,23
4,,,,3.0,3282.0,0.0009276261140127923,0.0006014610001242593,0.5207190737355272,validation,23
4,,,,0.0,1740.0,-0.0014366689916278448,-0.002133955732872339,0.42873563218390803,test,23
4,,,,1.0,548.0,-0.004641627120784271,-0.0005242881450471248,0.47992700729927007,test,23
4,,,,2.0,209.0,0.005992684111963949,0.005232177894048506,0.5980861244019139,test,23
4,,,,3.0,3448.0,-0.0013353818903944377,-0.0012101506603350853,0.4582366589327146,test,23
4,0.1806883750716918,0.006234827620359418,1.0,,,,,,,24
6,0.1574586210094193,0.010516661327753292,1.0,,,,,,,24
8,0.14543423893423874,0.0006530894787604976,1.0,,,,,,,24
10,0.15409344387029353,0.0013362088501690803,1.0,,,,,,,24
6,,,,0.0,639.0,-0.00024676991667722293,-0.0007782101167315147,0.4835680751173709,validation,24
6,,,,1.0,2540.0,-0.001546907338369856,-0.0019487868777667838,0.4248031496062992,validation,24
6,,,,2.0,315.0,-0.0059047985927730045,-0.0013115284974093422,0.4603174603174603,validation,24
6,,,,3.0,2167.0,-0.0014968731628575416,-0.000958466453674145,0.47115828334102444,validation,24
6,,,,4.0,115.0,0.010516661327753292,0.007541478129713397,0.6434782608695652,validation,24
6,,,,5.0,169.0,-0.0024508356339730556,0.0016034818462948852,0.5088757396449705,validation,24
6,,,,0.0,782.0,0.0036231678617851086,0.0009828637830469056,0.5332480818414322,test,24
6,,,,1.0,3093.0,0.0025934405248036812,0.0020618556701030855,0.5738764953119948,test,24
6,,,,2.0,169.0,0.002611040746232338,0.003913043478260825,0.6035502958579881,test,24
6,,,,3.0,1725.0,0.0020407645266364628,0.0020776730062330717,0.5698550724637681,test,24
6,,,,4.0,105.0,0.007426785388536742,0.0028109627547432403,0.5619047619047619,test,24
6,,,,5.0,107.0,-7.064710418979128e-05,0.0,0.4953271028037383,test,24
4,0.16901891162330418,0.003237727356470822,4.0,,,,,,,25
6,0.19303261790981668,0.003378555518185973,5.0,,,,,,,25
8,0.15739568907083432,0.003017309671489954,5.0,,,,,,,25
10,0.16401337792892884,0.0026248423118686985,6.0,,,,,,,25
6,,,,0.0,101.0,-0.0004043701912453176,0.0,0.49504950495049505,validation,25
6,,,,1.0,1233.0,0.002252388579802107,0.002504472271914082,0.578264395782644,validation,25
6,,,,2.0,110.0,0.0016419142798613662,0.0030698461731136772,0.5727272727272728,validation,25
6,,,,3.0,131.0,0.007337899739021947,0.0017371163867978545,0.549618320610687,validation,25
6,,,,4.0,3398.0,0.0025123757209136854,0.002076768188340128,0.5729841082989994,validation,25
6,,,,5.0,1008.0,0.00314819927133076,0.001001376225719719,0.5396825396825397,validation,25
6,,,,0.0,81.0,0.0031405208910208955,-0.0011999999999999789,0.4691358024691358,test,25
6,,,,1.0,1353.0,0.0016947040642522795,0.0013376136971643415,0.5351071692535108,test,25
